"Qty";"Value";"Device";"Package";"Parts";"Description";"BOM";"BUILT_BY";"CENTROID_NOT_SPECIFIED";"COPYRIGHT";"CREATED-BY";"DATASHEET";"DATASHEET_URL";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FAMILY_NAME";"GENERIC_PART_NUMBER";"INDUSTRY_STD_PKG_TYPE";"LEAD_FREE";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MP";"MPN";"PACKAGE";"PACKAGE_DESIGNATOR";"PART_NO";"PART_NUMBER";"PIN_COUNT";"POPULARITY";"PREFIX";"QUENCH";"ROHS";"SERIES";"SOFTSTART";"SOURCELIBRARY";"TC";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TOL";"TP_SIGNAL_NAME";"VENDOR";"VOLTAGE";
"1";"";"J-JST2-SMT-RA";"JST-PH-2-SMT-RA";"J201";"JST 2-Pin Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"JST Sales America Inc.";"";"";"";"";"S2B-PH-SM4-TB(LF)(SN)";"";"";"S2B-PH-SM4-TB(LF)(SN)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"SLIDESWITCH-SPDT-SMD-RIGHT-ANGLE";"SWITCH_SPST_SMD_A";"S201";"Single Pole, Double Throw (SPDT) Switch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Nidec Copal Electronics";"";"";"";"";"CUS-12TB";"";"";"CUS-12TB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14";"0.1u";"C-0402";"C0402";"C1, C101, C102, C103, C104, C105, C106, C108, C109, C111, C112, C113, C208, C209";"Capacitor, Surface Mount";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"C0402C104K8RACTU";"";"";"";"";"";"";"";"";"";"X7R";"";"";"10%";"";"";"10V";
"1";"0.24";"R-0603";"R0603";"R207";"Resistor, Surface Mount";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"ERJ-2BQFR24X";"";"";"ERJ-2BQFR24X";"";"";"";"";"";"";"";"";"";"";"";"";"0.5%";"";"";"";
"1";"1";"R-0603";"R0603";"R208";"Resistor, Surface Mount";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"KOA Speer";"";"";"";"";"KDV06DR510ET";"";"";"SR732BTTD1R00D";"";"";"";"";"";"";"";"";"";"";"";"";"0.5%";"";"";"";
"1";"100k";"R-0402";"R0402";"R3";"Resistor, Surface Mount";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"ERJ-2GEJ104X";"";"";"ERJ-2GEJ104X";"";"";"";"";"";"";"";"";"";"";"";"";"5%";"";"";"";
"1";"100n";"C-0402";"C0402";"C201";"Capacitor, Surface Mount";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"CC0402KRX5R5BB104";"";"";"";"CC0402KRX5R5BB104";"";"";"";"";"";"";"";"";"";"X7R";"";"";"10%";"";"";"6.3V";
"1";"10k";"R-0402";"R0402";"R101";"Resistor, Surface Mount";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"ERJ-2GEJ103X";"";"";"ERJ-2GEJ103X";"";"";"";"";"";"";"";"";"";"";"";"";"5%";"";"";"";
"2";"10p";"C-0402";"C0402";"C118, C119";"Capacitor, Surface Mount";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"C0402C100C8GACTU";"";"";"";"";"";"";"";"";"";"X7R";"";"";"10%";"";"";"6.3V";
"1";"10u";"C-0603";"C0603";"C202";"Capacitor, Surface Mount";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"C0603C106M8PAC7867";"";"";"";"";"";"";"";"";"";"X5R";"";"";"10%";"";"";"10V";
"2";"10u";"C-0805";"C0805";"C110, C115";"Capacitor, Surface Mount";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"C0805C106M8RACTU";"";"";"";"";"";"";"";"";"";"X7R";"";"";"10%";"";"";"10V";
"1";"1k";"R-0402";"R0402";"R204";"Resistor, Surface Mount";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"ERA-2AED102X";"";"";"";"";"";"";"";"";"";"";"";"";"0.5%";"";"";"";
"1";"1k";"R-0402";"R0402";"R106";"Resistor, Surface Mount";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"ERJ-2GEJ102X";"";"";"";"";"";"";"";"";"";"";"";"";"5%";"";"";"";
