Qty,PartNo,Description,Value,Number ,Vender,Parts,Package,MFPN
1,ADA48411YRJZR7,IC OPAMP VFB 1 CIRCUIT SOT23-6,ADA4841-1YRJZ-R7RJ_6-L,5,,U2,RJ_6-L,ADA48411YRJZR7
1,ADG839YKSZ-500RL7,IC SWITCH SPDT SC70-6,ADG839YKSZ-500RL7KS_6_ADI-L,5,,U13,KS_6_ADI-L,ADG839YKSZ-500RL7
1,ATSAMD21G18A-MF,IC MCU 32BIT 256KB FLASH 48QFN,ATSAMD21G18_QFN,5,,U19,MICROBUILDER_TQFN48_7MM,ATSAMD21G18A-MF
1,ATTINY817MFR,IC MCU 8BIT 8KB FLASH 24QFN,ATTINY817-MFRQFN24_RX4MC-L_ATTINY817-MFR,5,,U17,ATTINY817-MFRQFN24_RX4MC-L_QFN24_4X4MC,ATTINY817MFR
1,BMI160,IMU ACCEL/GYRO I2C/SPI 14LGA,BMI160,5,,U11,PQFN50P300X250X88-14N,BMI160
5,C0402C104K4RACTU,CAP CER 0.1UF 16V X7R 0402,0.1u,25,,"C7, C13, C25, C47, C48",C0402,C0402C104K4RACTU
3,C0402C105M8PACTU,CAP CER 1UF 10V X5R 0402,1u,20,,"C1, C8, C14",C0402,C0402C105M8PACTU
1,C0402C472K3RACTU,CAP CER 4700PF 25V X7R 0402,4.7n,10,,C46,C0402,C0402C472K3RACTU
1,C0603C475K8PACTU,CAP CER 4.7UF 10V X5R 0603,4.7u,10,,C12,C0603,C0603C475K8PACTU
1,C1005X7R1C104K050BC,CAP CER 0.1UF 16V X7R 0402,0.1u,10,,C36,C0402,C1005X7R1C104K050BC
1,C1005X7S1A105K050BC,CAP CER 1UF 10V X7S 0402,1u,10,,C42,C0402,C1005X7S1A105K050BC
1,CBR04C220F5GAC,CAP CER 22PF 50V C0G/NP0 0402,22p,10,,C26,C0402-S,CBR04C220F5GAC
2,CBR04C559B5GAC,CAP CER RF 5.5PF 50V +/-0.1 PF C,5.5p,15,,"C2, C4",C0402,CBR04C559B5GAC
6,CC0402KRX5R5BB105,CAP CER 1UF 6.3V X5R 0402,1u,30,,"C10, C17, C19, C21, C23, C29",C0402,CC0402KRX5R5BB105
1,CC0402KRX5R5BB684,CAP CER 0.68UF 6.3V X5R 0402,0.68u,10,,C6,C0402,CC0402KRX5R5BB684
9,CC0402KRX7R6BB104,CAP CER 0.1UF 10V X7R 0402,0.1u,40,,"C11, C18, C20, C22, C24, C30, C43, C44, C45",C0402,CC0402KRX7R6BB104
1,CRCW04021R33FKED,RES SMD 1.33 OHM 1% 1/16W 0402,1.33R,10,,R_SENSE,R0402,CRCW04021R33FKED
1,DF40C-44DP-0.4V(51),CONN PLUG 44POS SMD GOLD,HIROSE-DF40_44-PIN_CONNECTORS-HEADER,6,,J5,HRS_DF40C-44DP-0.4V(51),DF40C-44DP-0.4V(51)
1,DF40HC(3.0)-44DS-0.4V(51),CONN RCPT 44POS SMD GOLD,HIROSE-DF40_44-PIN_CONNECTORS-RECEPTACLE,6,,J1,HRS_DF40HC(3.0)-44DS-0.4V(51),DF40HC(3.0)-44DS-0.4V(51)
1,ERA-2AEB4991X,RES SMD 4.99KOHM 0.1% 1/16W 0402,4.99k,10,,R1,R0402,ERA-2AEB4991X
1,ERA-2AEB8252X,RES SMD 82.5KOHM 0.1% 1/16W 0402,82.5k,10,,R2,R0402,ERA-2AEB8252X
