C.PHAT	-3.81	53.34	270.00	47u	C1206
C1	47.63	36.83	0.00	10u	C0805
C10	33.02	57.79	180.00	0.1u	C0402
C108	31.17	7.62	180.00	10pF	C0603
C12	48.90	17.78	270.00	0.1u	C0402
C13	53.98	50.16	270.00	0.1u	C0402
C15	47.63	46.36	270.00	0.1u	C0402
C17	24.13	3.18	90.00	16pF	C0603
C18	12.70	53.34	180.00	4.7u	C0603
C19	30.48	4.45	270.00	16pF	C0603
C208	6.35	51.44	270.00	4.7u	C0603
C24	14.61	32.38	90.00	22u	C0805
C25	19.69	32.38	90.00	22u	C0805
C26	34.34	13.23	180.00	22u	C0805
C32	10.16	31.75	90.00	0.1u	C0402
C36	16.51	31.75	90.00	0.1u	C0402
C4	-13.97	27.30	0.00	0.1u	C0402
C43	31.12	11.94	0.00	0.1u	C0402
C44	24.13	32.38	90.00	0.1u	C0402
C45	38.10	53.98	180.00	0.1u	C0402
C48	-12.12	33.35	90.00	0.1u	C0402
C49	-9.53	23.50	270.00	0.1u	C0402
C5	-4.45	26.67	180.00	0.1u	C0402
C50	-14.12	29.85	0.00	0.1u	C0402
C51	-13.97	26.04	0.00	0.1u	C0402
C52	-5.66	30.20	90.00	0.1u	C0402
C53	-8.28	33.35	90.00	0.1u	C0402
C54	-12.29	22.73	270.00	4.7u	C0603
C55	-0.81	27.99	90.00	18pF	C0402
C56	-0.84	30.12	270.00	18pF	C0402
C57	0.64	54.61	270.00	1u	C0402
C6	52.07	8.89	270.00	0.1u	C0402
C7	53.34	22.86	270.00	0.1u	C0402
C9	47.63	4.45	270.00	0.1u	C0402
F2	12.07	50.16	0.00	MF-MSMF050-2	1812
IP.ANA	26.04	32.38	270.00	JUMPER-SMT_2_NC_PASTE_NO-SILK	SMT-JUMPER_2_NC_PASTE_NO-SILK
IP.AREF	22.86	35.56	180.00	JUMPER-SMT_2_NC_PASTE_NO-SILK	SMT-JUMPER_2_NC_PASTE_NO-SILK
IP.OUT	31.75	18.41	180.00	JUMPER-SMT_2_NC_PASTE_NO-SILK	SMT-JUMPER_2_NC_PASTE_NO-SILK
IP.PLL	14.61	29.21	90.00	JUMPER-SMT_2_NC_PASTE_NO-SILK	SMT-JUMPER_2_NC_PASTE_NO-SILK
IP.UTMI	31.06	9.88	180.00	JUMPER-SMT_2_NC_PASTE_NO-SILK	SMT-JUMPER_2_NC_PASTE_NO-SILK
IP.VDDIO	6.99	31.75	90.00	JUMPER-SMT_2_NC_PASTE_NO-SILK	SMT-JUMPER_2_NC_PASTE_NO-SILK
L1	-3.81	57.15	180.00	3.3µH/±20%/450mA	0805
L101	22.23	32.38	270.00	MH2029-300Y	L0805
L102	34.32	11.10	0.00	MH2029-300Y	L0805
L104	12.07	32.38	270.00	MH2029-300Y	L0805
MN.UART.RX	-17.14	5.71	90.00	JUMPER-SMT_2_NC_PASTE_NO-SILK	SMT-JUMPER_2_NC_PASTE_NO-SILK
MN.UART.TX	-13.34	5.71	90.00	JUMPER-SMT_2_NC_PASTE_NO-SILK	SMT-JUMPER_2_NC_PASTE_NO-SILK
Q10	33.02	49.53	0.00	2N7002P	SOT23-3_2N7002P
Q3	43.82	12.70	0.00	FDN340P	SOT23-3_FDN340P
Q4	43.82	7.62	90.00	2N7002P	SOT23-3_2N7002P
Q5	44.45	53.34	0.00	FDN340P	SOT23-3_FDN340P
Q6	44.45	48.26	90.00	2N7002P	SOT23-3_2N7002P
Q7	45.09	25.40	0.00	FDN340P	SOT23-3_FDN340P
Q8	45.09	20.96	90.00	2N7002P	SOT23-3_2N7002P
Q9	27.94	49.53	270.00	FDN340P	SOT23-3_FDN340P
R2	8.26	59.69	90.00	1.5k	R0402
R201	3.81	55.25	90.00	270k	R0402
R202	3.81	52.71	270.00	100k	R0402
R203	12.70	54.61	0.00	2k	R0402
R204	12.70	55.88	0.00	100k	R0402
R206	3.81	57.79	270.00	10k	R0402
R21	43.69	4.45	270.00	10k	R0402
R22	50.16	13.34	180.00	5.1	R0603
R23	50.16	4.45	180.00	5.1	R0603
R3	6.35	59.69	270.00	1.5k	R0402
R30	45.09	17.65	180.00	10k	R0402
R31	50.16	27.94	180.00	5.1	R0603
