"Qty";"Value";"Device";"Package";"Parts";"Description";"APPLICATION_BUILDNUMBER";"AVAILABILITY";"BOM";"BUILT_BY";"COMPTYPE";"COPYRIGHT";"DESC";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"DIGIKEY-PURCHASE-URL";"FCC";"HEIGHT";"LOAD_CAPACITY";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MEANUFACTURER";"MF";"MOUNTTYPE";"MP";"MPN";"OC_NEWARK";"PACKAGE";"PACKAGEREFERENCE";"PARTNO";"PARTNUMBER";"PART_NUMBER";"PIN_COUNT";"POPULARITY";"PRICE";"QUENCH";"REFDES";"ROHS";"SIZE";"SOFTSTART";"SOURCELIBRARY";"SPICEMODEL";"TC";"TOL";"TYPE";"VALUE";"VENDOR";"VOLT";"VOLTAGE";"Z-HEIGHT";
"1";"";"JUMPER_SJ2W";"JUMPER_SJ_2";"SJ3";"SMD solder JUMPER";"";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"R-0402";"R0402";"R8, R11";"Resistor, Surface Mount";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5%";"";"";"";"";"";"";
"1";"";"SGTL5000-QFN20";"SGTL5000-QFN20";"U$1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"0.1u";"C-0402";"C0402";"C27, C28, C31, C35, C36";"Capacitor, Surface Mount";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"X7R";"10%";"";"";"";"";"6.3V";"";
"8";"0.1u";"C-0402";"C0402";"C11, C18, C20, C22, C30, C43, C44, C45";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER 0.1UF 10V X7R 0402";"0.1µF ±10% 10V Ceramic Capacitor X7R 0402 (1005 Metric)";"";"";"";"";"0.55mm";"";"Yageo";"";"";"";"";"";"CC0402KRX7R6BB104";"";"";"";"CC0402KRX7R6BB104";"";"";"";"";"";"";"";"";"0402";"";"";"";"X7R";"10%";"Capacitor";"";"";"10V";"6.3V";"";
"1";"0.1u";"C-0402";"C0402";"C24";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER 0.1UF 10V X7R 0402";"";"";"";"";"";"0.55mm";"";"Yageo";"";"";"";"";"";"CC0402KRX7R6BB104";"";"";"";"CC0402KRX7R6BB104";"";"";"";"";"";"";"";"";"0402";"";"";"";"X7R";"10%";"Capacitor";"";"";"10V";"6.3V";"";
"5";"0.1u";"C-0402";"C0402";"C7, C13, C25, C47, C48";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER 0.1UF 16V X7R 0402";"";"";"";"";"";"0.55mm";"";"Kemet";"";"";"";"";"";"C0402C104K4RACTU";"";"";"";"C0402C104K4RACTU";"";"";"";"";"";"";"";"";"0402";"";"";"";"X7R";"10%";"Capacitor";"";"";"16V";"16V";"";
"1";"0.68u";"C-0402";"C0402";"C6";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER 0.68UF 6.3V X5R 0402";"";"";"";"";"";"0.55mm";"";"Yageo";"";"";"";"";"";"CC0402KRX5R5BB684";"";"";"";"CC0402KRX5R5BB684";"";"";"";"";"";"";"";"";"0402";"";"";"";"X5R";"10%";"Capacitor";"";"";"6.3V";"6.3V";"";
"2";"0R";"C0402-ANT0402";"C0402-S";"R27, R28";"Capacitor, Surface Mount";"";"";"";"";"";"";"RES 0 OHM JUMPER 1/16W 0402";"";"";"";"";"";"";"";"Stackpole";"";"";"";"";"";"RMCF0402ZT0R00";"";"";"";"RMCF0402ZT0R00";"";"";"";"";"";"";"";"";"0402";"";"";"";"X7R";"Jumper";"Resistor";"";"";"";"6.3V";"";
